
2378, 63158 
2491, 63045 
2580, 62956 
2590, 62946 
2612, 62924 
2633, 62903 
2684, 62852 
2637, 62899 
2626, 62910 
2585, 62951 
2473, 63063 
2463, 63073 
2442, 63094 
2411, 63125 
2378, 63158 
2351, 63185 
2357, 63179 
2341, 63195 
2308, 63228 
2328, 63208 
2221, 63315 
2191, 63345 
2132, 63404 
2177, 63359 
2133, 63403 
2130, 63406 
2064, 63472 
2058, 63478 
2038, 63498 
2019, 63517 
2013, 63523 
1929, 63607 
1892, 63644 
1852, 63684 
1843, 63693 
1799, 63737 
1796, 63740 
1745, 63791 
1723, 63813 
1668, 63868 
1644, 63892 
1579, 63957 
1540, 63996 
1495, 64041 
1456, 64080 
1454, 64082 
1414, 64122 
1418, 64118 
1427, 64109 
1423, 64113 
1400, 64136 
1363, 64173 
1342, 64194 
1343, 64193 
1309, 64227 
1295, 64241 
1268, 64268 
1247, 64289 
1234, 64302 
1206, 64330 
1190, 64346 
1202, 64334 
1188, 64348 
1185, 64351 
1163, 64373 
1160, 64376 
1163, 64373 
1177, 64359 
1223, 64313 
1224, 64312 
1199, 64337 
1144, 64392 
1152, 64384 
1143, 64393 
1147, 64389 
1095, 64441 
1085, 64451 
1084, 64452 
1057, 64479 
1065, 64471 
1062, 64474 
1041, 64495 
994, 64542 
977, 64559 
975, 64561 
967, 64569 
941, 64595 
948, 64588 
909, 64627 
908, 64628 
892, 64644 
870, 64666 
860, 64676 
848, 64688 
835, 64701 
834, 64702 
808, 64728 
813, 64723 
817, 64719 
794, 64742 
772, 64764 
784, 64752 
781, 64755 
780, 64756 
778, 64758 
786, 64750 
813, 64723 
805, 64731 
807, 64729 
826, 64710 
810, 64726 
797, 64739 
834, 64702 
837, 64699 
811, 64725 
824, 64712 
816, 64720 
819, 64717 
838, 64698 
846, 64690 
836, 64700 
849, 64687 
844, 64692 
806, 64730 
835, 64701 
813, 64723 
808, 64728 
801, 64735 
795, 64741 
772, 64764 
759, 64777 
768, 64768 
749, 64787 
756, 64780 
747, 64789 
777, 64759 
775, 64761 
770, 64766 
797, 64739 
791, 64745 
789, 64747 
798, 64738 
816, 64720 
822, 64714 
803, 64733 
801, 64735 
820, 64716 
795, 64741 
803, 64733 
754, 64782 
775, 64761 
